workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_time_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_clickorder_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_clicktime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_scenariotime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_why_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_honestly_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime"
"A2R7IJ6O8ZYSYX","ilsp18b0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","107795","b4,b5a,b3","88144,94779,107795","107795","why:","honestly:"
" A179FA3NA9FQ47","ilsqm5kp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","165509","b4,b5a,b3","143932,150553,165509","165509","why:","honestly:"
"A2SYRFPPV9WDEG","ilsoof3k","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","4249545","b4,b5a,b3","4241244,4246715,4249545","4249544","why:","honestly:"
"AASW4EHSSOG40","ilsoefv5","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","150254","b4,b5a,b3","130069,137341,150253","150253","why:","honestly:"
"A1QK90OHMNVT6N","ilsowrb2","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","146559","b4,b5a,b3","132772,140102,146559","146559","why:","honestly:"
"AJH2N4RI8WA6U","ilspb4o8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","246280","b4,b5a,b3","221303,240474,246280","246280","why:","honestly:"
"A1O67YS3DU0ZHX","ilss23ud","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","190215","b4,b5a,b3","178477,184214,190215","190215","why:","honestly:"
"A3JSI5WV5EJ602","ilsv83vd","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","150274","b4,b5a,b3","143913,148201,150274","150273","why:","honestly:"
"A9VLWY4KW6OCB","ilsrtp5q","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","45092","b4,b5a,b3","31540,41372,45092","45091","why:","honestly:"
"AB1X97ASE626Q","ilso9orp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","149818","b4,b5a,b3","84812,104278,149818","149817","why:","honestly:"
"A2WBZ3W4TZNCJL","ilswd6cc","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","37857","b4,b5a,b3","32345,35534,37857","37856","why:","honestly:"
"A15SPRQ2HRRZMQ","ilsuj7u1","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","138193","b4,b5a,b3","130545,135194,138193","138193","why:","honestly:"
"AKNYT1NTK2UFK","ilsogudr","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","76548","b4,b5a,b3","65929,69987,76548","76548","why:","honestly:"
"AGBDM85RLYTGL","ilsp49ul","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","139277","b4,b5a,b3","126477,134164,139277","139277","why:","honestly:"
"A3N30TU7ZTLNB9","ilsudake","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","44322","b4,b5a,b3","36887,38731,44322","44321","why:","honestly:"
"A3PAA6VVRWVVK6","ilstdchl","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","159127","b4,b5a,b3","142618,151832,159127","159126","why:","honestly:"
"A1QNSTTYHRGJAT","ilsoer0s","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","106212","b4,b5a,b3","94802,101634,106212","106211","why:","honestly:"
"A1IQV3QUWRA8G1","ilspxbf0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","130691","b4,b5a,b3","121845,125555,130691","130687","why:","honestly:"
"A3EIVR2LS7CCWB","ilt0bkf8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","174104","b4,b5a,b3","150698,162696,174104","174104","why:","honestly:"
"AWU9KXJ20TYKQ","ilsozpzn","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","67748","b4,b5a,b3","46222,56928,67748","67748","why:","honestly:"
"A336V7IY38Q2WN","ilswlrbk","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","439447","b4,b5a,b3","408408,429608,439446","439440","why:","honestly:"
"A2L0TLGQFG85UZ","ilsxyrzr","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","80808","b4,b5a,b3","62656,73223,80808","80807","why:","honestly:"
"A1C3A6UO12AFH4","ilssm1gh","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","292973","b4,b5a,b3","261031,278020,292973","292973","why:","honestly:"
"A1ICEHLHW6JNN1","ilsu15d7","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","118900","b4,b5a,b3","105041,114618,118900","118900","why:","honestly:"
"A2J1VDVDYZRK29","ilsoyoog","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","60040","b4,b5a,b3","49456,55289,60040","60039","why:","honestly:"
"A9YQQIZRWVPIT","ilsozj9e","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","66774","b4,b5a,b3","55278,63372,66773","66774","why:","honestly:"
"A379CH361AJDPD","ilspjph0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","130840","b4,b5a,b3","113041,119648,130840","130840","why:","honestly:"
"A18VHGJDSTTBHV","ilstq9j5","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","98795","b4,b5a,b3","81887,89715,98795","98796","why:","honestly:"
"A2JCHN90PRUWDH","ilso9svn","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","47625","b4,b5a,b3","34161,41673,47625","47625","why:","honestly:"
"AKZUP3VY594E8","ilszx1ap","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","201424","b4,b5a,b3","182053,193274,201424","201424","why:","honestly:"
"A5EU1AQJNC7F2","ilsr81h2","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","1295880","b4,b5a,b3","1290233,1293930,1295880","1295880","why:","honestly:"
"A1U8PQZ1IX546E","ilsob4n5","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","104399","b4,b5a,b3","86684,95376,104399","104399","why:","honestly:"
"A2551EKB87S2XY","ilsxxsd2","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","43266","b4,b5a,b3","38608,41536,43266","43265","why:","honestly:"
"A3FAQHVPI8OUP0","ilso9l7i","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","348754","b4,b5a,b3","332234,343098,348754","348753","why:","honestly:"
"A39J3Y8YVC6AIZ","ilsuc4kh","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","320090","b4,b5a,b3","277557,290390,320089","320090","why:","honestly:"
"A23R5LS5X8XU3I","ilsp3yj7","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","304823","b4,b5a,b3","288191,297441,304823","304823","why:","honestly:"
"A70L26UXLTGLC","ilsoiwc8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","188659","b4,b5a,b3","154043,175475,188659","188658","why:","honestly:"
"A1ZF2GZ2ZRV8OY","ilsoneuo","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","98675","b4,b5a,b3","86686,94071,98675","98675","why:","honestly:"
"A27O2IILV3S5YS","ilsod626","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","92310","b4,b5a,b3","83469,85557,92310","92309","why:","honestly:"
"A7IP59CHOHDYL","ilstygpl","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","148153","b4,b5a,b3","113569,131216,148153","148152","why:","honestly:"
"A2DNWDHMMBSHWT","ilsosl0h","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","162949","b4,b5a,b3","148613,156836,162949","162949","why:","honestly:"
"A9HQ3E0F2AGVO","ilss72c6","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","57239","b4,b5a,b3","46078,52051,57239","57238","why:","honestly:"
"A37EV8RZ82WT8E","ilsohekz","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","204996","b4,b5a,b3","195275,203048,204996","204996","why:","honestly:"
"ATQKTFZ7ETZ1C","ilsoa9qx","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","112381","b4,b5a,b3","95606,102973,112381","112380","why:","honestly:"
"A1ECUDAJQXQUNB","ilsqllab","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","45068","b4,b5a,b3","36543,41217,45068","45068","why:","honestly:"
"A1GZOEMTN2KYDA","ilsp376l","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","70258","b4,b5a,b3","58816,64221,70258","70258","why:","honestly:"
"A2A3QA1VCMLUSX","ilsofyvf","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","40092","b4,b5a,b3","29674,35452,40092","40092","why:","honestly:"
"A1VHJTJMAVV0WA","ilswnubq","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","126629","b4,b5a,b3","118716,123681,126629","126629","why:","honestly:"
"A2WBZ3W4TZNCJL","ilsw2bb6","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","185740","b4,b5a,b3","165703,174175,185740","185740","why:","honestly:"
"A14K8WS2S5F8KO","ilsqmt6o","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","81277","b4,b5a,b3","63293,77144,81277","81275","why:","honestly:"
"A311S2J8UUQ7QR","ilsugat3","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","180434","b4,b5a,b3","171718,176418,180434","180434","why:","honestly:"
"A37E36IPU0BJX5","ilssira2","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","163655","b4,b5a,b3","147670,159156,163655","163654","why:","honestly:"
"AFDC9A6Z60W2Z","ilsr0lpp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","118674","b4,b5a,b3","112114,115610,118674","118673","why:","honestly:"
"ABUXM7VAW5SKJ","ilsoqfjo","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","168539","b4,b5a,b3","134049,150101,168539","168539","why:","honestly:"
"ABOEYY9Y0PFRI","ilsoqlrn","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","129301","b4,b5a,b3","100346,121505,129301","129301","why:","honestly:"
"A1CE2XPYCDRHVZ","ilsroc5y","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","79297","b4,b5a,b3","73458,76317,79297","79296","why:","honestly:"
"A1F3TWJXGO0URG","ilsq7olj","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","124649","b4,b5a,b3","104672,112418,124649","124646","why:","honestly:"
"AUZ3YWTVBISNH","ilsqx9wa","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","210268","b4,b5a,b3","183149,200904,210268","210266","why:","honestly:"
"A2T1K94BLNDBAH","ilspxyhk","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","48921","b4,b5a,b3","38135,43669,48921","48921","why:","honestly:"
"A30INZP823YXM4","ilsp63ps","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","224827","b4,b5a,b3","207587,214507,224827","224827","why:","honestly:"
"A33QXQVY6GU1FI","ilsoga7e","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","35981","b4,b5a,b3","24463,27535,35980","35981","why:","honestly:"
"A16184N1RO5OJV","ilsoa5bp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","122676","b4,b5a,b3","98720,109792,122676","122676","why:","honestly:"
"A255Z4U24Y2SP8","ilsvdho6","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","127996","b4,b5a,b3","108119,118788,127996","127995","why:","honestly:"
"A2OFN0A5CPLH57","ilstobf4","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","185558","b4,b5a,b3","151582,170767,185557","185559","why:","honestly:"
"A3HBMPB74FWI1","ilsodc09","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","17913","b4,b5a,b3","9972,12958,17913","17913","why:","honestly:"
"ALDQRWYZ8KQ9A","ilspkqgc","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","552295","b4,b5a,b3","488694,535214,552294","552294","why:","honestly:"
"A3QAHF4UUBM7ZO","ilsondif","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","37149","b4,b5a,b3","26350,32004,37149","37145","why:","honestly:"
"A3TTG9ALOZM8RC","ilsoa043","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","83574","b4,b5a,b3","64732,75444,83574","83574","why:","honestly:"
"A2UCKZZI9KBBCV","ilsuie6w","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","55308","b4,b5a,b3","29311,41976,55308","55307","why:","honestly:"
"A3I40B0FATY8VH","ilspf58n","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","110118","b4,b5a,b3","90055,102087,110118","110118","why:","honestly:"
"A268OJ4RQUMQRE","ilsp3qtb","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","83218","b4,b5a,b3","57598,76492,83218","83218","why:","honestly:"
"A1GLF2427E02YG","ilstxaek","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","389213","b4,b5a,b3","293610,320505,389213","389212","why:","honestly:"
"A2SHU616DSQKK2","ilswmzgf","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","242706","b4,b5a,b3","207482,230329,242706","242706","why:","honestly:"
"A1F0VPCA2QEVKZ","ilspqjbu","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","295371","b4,b5a,b3","265505,277652,295371","295371","why:","honestly:"
"A2XJPQF9BIMJS0","ilsp8tlu","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","189463","b4,b5a,b3","178858,184954,189463","189462","why:","honestly:"
"A8028AFBBS29G","ilso9q4y","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","172207","b4,b5a,b3","151422,162092,172207","172207","why:","honestly:"
"AVR6APJRJK7EF","ilsspihh","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","133879","b4,b5a,b3","102746,127944,133879","133878","why:","honestly:"
"A2VDCUHGOZTL8R","ilsqyoa6","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","131480","b4,b5a,b3","122136,126831,131480","131480","why:","honestly:"
"A70L26UXLTGLC","ilsouxe8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","17299","b4,b5a,b3","12244,15427,17299","17299","why:","honestly:"
"A3RQN26FQAXYOI","ilsq4cw3","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","78259","b4,b5a,b3","63613,68886,78259","78259","why:","honestly:"
"A3L6XZCGHKA9WY","ilsp4hvw","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","129915","b4,b5a,b3","115387,116986,129915","129915","why:","honestly:"
"A279YSE7NB16M0","ilsve019","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","206944","b4,b5a,b3","179288,182699,206944","206943","why:","honestly:"
"A20ALQT1HIVSAH","ilsojr3v","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","101123","b4,b5a,b3","92739,98226,101122","101123","why:","honestly:"
"A2Q9EDMARU6D1P","ilsoy2l3","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","640151","b4,b5a,b3","625313,632559,640151","640151","why:","honestly:"
"A1N16ZU0FNQEY6","ilsox7yh","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","56367","b4,b5a,b3","51685,52365,56367","56367","why:","honestly:"
"A2T1K94BLNDBAH","ilsq0azd","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","13345","b4,b5a,b3","9344,11861,13345","13345","why:","honestly:"
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_time_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_clickorder_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_clicktime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_scenariotime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_why_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime","_honestly_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_teach_prime"
"A2R7IJ6O8ZYSYX","ilsp18b0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","34112","b5a","34112","34112","why:","honestly:"
" A179FA3NA9FQ47","ilsqm5kp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","7","198679","bb,b5c,b3,b4,b2,b1,b5a","42157,105346,149609,184956,188848,191531,198679","198679","why:","honestly:"
"A2SYRFPPV9WDEG","ilsoof3k","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","2","85115","b3,b5a","32765,85115","85115","why:","honestly:"
"AASW4EHSSOG40","ilsoefv5","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","53774","b5a","53774","53774","why:","honestly:"
"AJH2N4RI8WA6U","ilspb4o8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","137780","b5a","137780","137779","why:","honestly:"
"A1O67YS3DU0ZHX","ilss23ud","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","73758","b5a","73758","73758","why:","honestly:"
"A3JSI5WV5EJ602","ilsv83vd","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","3","17299","b3,b4,b5a","10900,14675,17299","17299","why:","honestly:"
"A9VLWY4KW6OCB","ilsrtp5q","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","4","7966","b4,b3,b2,b5a","2494,4270,5373,7966","7966","why:","honestly:"
"AB1X97ASE626Q","ilso9orp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","2","139056","bb,b5a","132448,139056","139055","why:","honestly:"
"A2WBZ3W4TZNCJL","ilswd6cc","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","2","17654","b1,b5a","7808,17654","17653","why:","honestly:"
"A15SPRQ2HRRZMQ","ilsuj7u1","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","44580","b5a","44580","44579","why:","honestly:"
"AKNYT1NTK2UFK","ilsogudr","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","6","100257","b1,b2,bb,b3,b4,b5a","74263,78705,84259,98452,99250,100257","100257","why:","honestly:"
"AGBDM85RLYTGL","ilsp49ul","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","62428","b5a","62428","62428","why:","honestly:"
"A3N30TU7ZTLNB9","ilsudake","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","6","104522","b4,b3,b1,b5b,b5c,b5a","92775,95704,96672,97864,99207,104522","104521","why:","honestly:"
"A3PAA6VVRWVVK6","ilstdchl","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","5","27757","b3,b2,b1,b4,b5a","14216,20163,22047,24182,27757","27757","why:","honestly:"
"A1QNSTTYHRGJAT","ilsoer0s","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","4","39443","b2,b3,b4,b5a","29229,35962,38023,39442","39442","why:","honestly:"
"A1IQV3QUWRA8G1","ilspxbf0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","42425","b5a","42425","42424","why:","honestly:"
"A3EIVR2LS7CCWB","ilt0bkf8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","6","40327","b3,b2,b1,b5c,b5b,b5a","13089,27529,30762,33813,36822,40327","40327","why:","honestly:"
"AWU9KXJ20TYKQ","ilsozpzn","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","73097","b5a","73097","73097","why:","honestly:"
"A336V7IY38Q2WN","ilswlrbk","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","121062","b5a","121061","121062","why:","honestly:"
"A2L0TLGQFG85UZ","ilsxyrzr","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","51951","b5a","51951","51951","why:","honestly:"
"A1C3A6UO12AFH4","ilssm1gh","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","393147","b5a","393147","393147","why:","honestly:"
"A1ICEHLHW6JNN1","ilsu15d7","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","1","70734","b5a","70734","70734","why:","honestly:"
"A2J1VDVDYZRK29","ilsoyoog","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","teach_prime","3","12505","b3,b4,b5a","4337,9424,12505","12505","why:","honestly:"
