workerId,postId,experimentID,taskID,q1,time,test0,test1,test2,test3,test4,test5
 A37CO0N1KC1CDW,j9s25bai,tasks/adding-machine.html,tasks/adding-machine.html,no,88654,"[2, 2, 0, 0],[4,8]","[1,1,1,0,0],","[4,4,4,0,0],","[5,5,5,0,0],",",",","
A21WX8SSWIBC6G,j9s07e8c,tasks/adding-machine.html,tasks/adding-machine.html,Java,211756,"[2, 2, 0, 0],[4]","[7, 11,0,2,3,0,0,2],[18,5]","[3, 1,0,0],[4]","[3, 4, 5, 0,3,4,4,0,0],[12,11]",",",","
A2FI2VTA8JVYS6,j9saz9mj,tasks/adding-machine.html,tasks/adding-machine.html,"Ruby, no",120895,"[2, 2, 0, 0],[4]","[6, 6, 0, 0],[12]","[7, 4, 0, 5, 7],[11, 12]","[5, 8, 0, 0, 0, 7, 7],[13, 14]",",",","
A2V6W655RENYIE,j9s4vrms,tasks/adding-machine.html,tasks/adding-machine.html,visual basic and java,427643,"[2, 2, 0, 0],[4]","[5, 7 , 3, 0, 4, 7, 2, 0, 0],","[6,8,0,9,7,6,0,5,6,0,0, 12],","[3,4, 0, 0, 12, 5, 7, 0],",",",","
A3M6I7O4VW9KR1,j9s1j9ir,tasks/adding-machine.html,tasks/adding-machine.html,javascript,283863,"[2, 2, 0, 0],[4]","[2, 3, 0, 1, 5, 0],[5, 6]","[4, 7, 0, 0, 7 ,1 ,0],[11, 8]","[3,1,0,4,3,0],[4,7]",",",","
 A37CO0N1KC1CDW,j9s2iapj,tasks/cut-at-xx.html,tasks/cut-at-xx.html,no,111616,"“helloxxworld”,""hello""","""pearxxapplexxorange"",","""carxxbikexxtruck"",","""dogxxcat"",",",",","
A1GPO13F5EY7FJ,j9sd12ix,tasks/cut-at-xx.html,tasks/cut-at-xx.html,Oracle PL/SQL,154652,"“helloxxworld”,[""hello world""]","""firstnamexxlastname"",[""firstname lastname""]","""howxxarexxyou"",[""how are you""]","""helloxxthere"",[""hello there""]",",",","
A2BOXK0KVXGKPU,j9s2c5iz,tasks/cut-at-xx.html,tasks/cut-at-xx.html,C#,226327,"“helloxxworld”,[""hello"", ""world""]","""catxxdogxxsquirrel"",[""cat"", ""dog"", ""squirrel""]","""axxbxxcxxd"",[""a"", ""b"", ""c"", ""d""]","""cutxxat"",[""cut"", ""at""]",",",","
A3PTFE5MJV5DU1,j9s07w5y,tasks/cut-at-xx.html,tasks/cut-at-xx.html,Java,1034874,"“helloxxworld”,[""hello"", ""world""]","""helloxxgorgeous"",[""hello"", ""gorgeous""]","""blueberryxxpie"",[""blueberry"", ""pie""] ","""happyxxthanksgivingxxlover"",[""happy"", ""thanksgiving"", ""lover""]",",",","
A3UQ9R1VDVVQKR,j9s0phre,tasks/cut-at-xx.html,tasks/cut-at-xx.html,"html, no.",267769,"“helloxxworld”,[""hello"",""world""]","""cannotxxproceed"",[""cannot"",""proceed""]","""testxxcase"",[""test"",""case""]","""returnxxhit"",[""return"",""hit""]","""finishedxxup"",[""finished"",""up""]","""functionxxdescription"",[""function"",""description""]"
 A37CO0N1KC1CDW,j9s27q7t,tasks/first-half.html,tasks/first-half.html,no,48403,"“read”,""read""","""write"",","""said"",","""wrote"",",",",","
AM0QVBV8L6QCJ,j9samjmc,tasks/first-half.html,tasks/first-half.html,Java,122804,"“read”,""read""","""bluebird"",""blue""","""pinkrose"",""pink""","""housesitter"",""house""","""litterbox"",""litter""","""schoolroom"",""school"""
AO33H4GL9KZX9,j9s3o6md,tasks/first-half.html,tasks/first-half.html,mathematica/matlab,170269,"“read”,""re""","""taskksat"",""task""","""descriptions"",""descri""","""instructions"",""instru""",",",","
AU5EQW2FNOXND,j9s55r96,tasks/first-half.html,tasks/first-half.html,COBOL,185077,"“read”,""re""","""TestCase"",","""Goodbye"",","""MechanicalTurk"",",",",","
 A37CO0N1KC1CDW,j9s29div,tasks/gcd.html,tasks/gcd.html,no,40909,"1,2,2","2,2,","2,1,","3,3,",",,",",,"
A3RD30VDG7UNV8,j9s3ictj,tasks/gcd.html,tasks/gcd.html,I don't use programming language. I have taken a class in java and C+ before in college and am moderately familiar with CSS and HTML though.,30669,"1,2,2","1,3,3","1,4,4","1,5,5","1,6,6","1,7,7"
AJNUBXFWG45E9,j9s2gig5,tasks/gcd.html,tasks/gcd.html,javascript,161868,"1,2,1","2,2,2","2,4,2","4,4,4",",,",",,"
AQTJFPB37TML0,j9s29bgm,tasks/gcd.html,tasks/gcd.html,My most used  programming language is C. I had no issues with the survey.,184949,"1,2,1","4,6,2","6,9,3","5,15,5","100,10,10","8,14,2"
ARB80JPV0HQ5O,j9s0y077,tasks/gcd.html,tasks/gcd.html,none/no,65499,"1,2,2","1,3,3","1,4,4","1,5,5","1,6,6","1,7,7"
ARG392N6HWZCJ,j9s05n5r,tasks/gcd.html,tasks/gcd.html,javascript,79026,"1,2,1","2,2,3","3,2,1","2,3,4","3,3,3","2,3,3"
 A37CO0N1KC1CDW,j9s2dmsl,tasks/hypotenuse.html,tasks/hypotenuse.html,no,25830,"6,8,9","7,8,9","8,9,","6,7,",",,",",,"
A240OTT1T85UGT,j9s81izy,tasks/hypotenuse.html,tasks/hypotenuse.html,no issues,233959,"6,8,10","1,2,","2,3,","4,5,",",,",",,"
A2DWSKGD9RNKMJ,j9s1c9uh,tasks/hypotenuse.html,tasks/hypotenuse.html,R,88289,"6,8,100","1,2,4","2,2,8","1,3,10","10,10,200","3,5,34"
ACJYC1XM245T1,j9s4qcca,tasks/hypotenuse.html,tasks/hypotenuse.html,Java,555275,"6,8,10","12,16,20","30,40,50","9,12,15","15,20,25","21,28,35"
ADTNOFJHTTB1L,j9s0oxi3,tasks/hypotenuse.html,tasks/hypotenuse.html,"I would say HTML would be my most used programming language. No, I do not have any issues with the survey.",95360,"6,8,9","10,11,12","13,14,15","16,17,18","19,20,21","22,23,24"
A1BTZRP5VVYGCC,j9s7jdmr,tasks/title.html,tasks/title.html,english,192276,"“Dr. Kelvin”,""Dr.""","""Dr. David"",""Dr.""","""Mr. David"",""Mr.""","""Er. Nelson"",""Er.""",",",","
A37CO0N1KC1CDW,j9s214rz,tasks/title.html,tasks/title.html,no,153548,"“Dr. Kelvin”,""Mr.""","""Dr. James"",Mr.","""Mr. Kelley"",Mr.","""Mr. Sanders"",Mr.","Dr. Smith,Mrs.","Dr. Jones,Mr."
A88IDP4W0BJ7P,j9s8qktw,tasks/title.html,tasks/title.html,C#.  From the text boxes and the responses to them it was not clear how many text boxes needed to be filled.  Some change to green and some didn't.,308800,"“Dr. Kelvin”,""Dr.""","""Thanks."",""Thanks.\n""Thanks.""","""."","".""",""".Thanks."","".""","""Mrs. Jones"",""Mrs.""",""".."",""."""
AL68ETF0OBLU4,j9s3i1xc,tasks/title.html,tasks/title.html,Java and C/C++. No issues,244707,"“Dr. Kelvin”,""Dr""","""This.is"",""This""","""12345.34"",""12345""","""#$%de3@.#$"",""#$%de3@""",",",","
ALKQPW0O9C98N,j9s8p7za,tasks/title.html,tasks/title.html,Java; no issues,525609,"“Dr. Kelvin”,""Dr.""","""Mrs. Anderson"",""Mrs.""","""Ms. Granger"",""Ms.""","""Jane Doe, Esq."",""Jane Doe, Esq.""","""Elizabeth Blackwell, M.D."" ,""Elizabeth Blackwell, M.""","""Lucy Hobbs Taylor, D.D.S."",""Lucy Hobbs Taylor, D."""
