"workerId","postId","userAgent","experimentID","taskID","modules/t1.html_time","modules/t1.html_answers","modules/t1.html_responses","modules/t1.html_grade","modules/t1.html_exitq","q1"
"A13OOAT2ORKH6V","ivclhjm3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","125405","[true,false,false,true]","[false,false,true,true]","0.5","true","I struggled with the study early, but then got the hang of the policies. Very fun and concise study."
"A3VIQ9XPOYB8K6","ivcmy4og","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","93960","[true,false,false,true]","[true,true,true,true]","0.5","true","it was very confusing"
"AK3H5QRAROFGP","ivckrecl","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","99369","[true,false,false,true]","[true,false,false,true]","1","true","I had no real problems with understanding and found it quite clear."
"A2DPKKEEW2I6QK","ivckp1w0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","43039","[true,false,false,true]","[true,true,true,false]","0.25","true","NA"
"A3HTLXAPOBCVVO","ivcnwll1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","307991","[true,false,false,true]","[true,false,false,true]","1","true","This was very well formatted and it made it easy to understand."
"AY7WPVKHVNBLG","ivcl0ylt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","115965","[true,false,false,true]","[true,false,false,true]","1","true","In the beginning I didn't realize that every item from the policy had to be written in the examples. I just thought that the items in the examples had to agree with the policy. I figured it out pretty quickly though."
"A3843S9LWPDN2K","ivcmoth2","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","69416","[true,false,false,true]","[true,false,false,true]","1","true","I started struggling at task 3, but I really don't think there's anything you could have said to make things more clear for me."
"A2C73Y1COWCA51","ivcke27h","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","110629","[true,false,false,true]","[true,true,true,true]","0.5","false","no issues"
"A5EU1AQJNC7F2","ivcksdnx","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","32770","[true,false,false,true]","[true,true,false,true]","0.75","false","It was very confusing trying to figure out which statements translated into each sentence"
"A2541C8MY0BYV3","ivckm0a1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t1.html","54172","[true,false,false,true]","[true,true,false,true]","0.75","true","I tried my best."
"workerId","postId","userAgent","experimentID","taskID","modules/t2.html_time","modules/t2.html_answers","modules/t2.html_responses","modules/t2.html_grade","modules/t2.html_exitq","q1"
"A13OOAT2ORKH6V","ivclhjm3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","44008","[false,true]","[true,false]","0","false","I struggled with the study early, but then got the hang of the policies. Very fun and concise study."
"A3VIQ9XPOYB8K6","ivcmy4og","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","6447","[false,true]","[true,true]","0.5","true","it was very confusing"
"AK3H5QRAROFGP","ivckrecl","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","13316","[false,true]","[true,true]","0.5","true","I had no real problems with understanding and found it quite clear."
"A2DPKKEEW2I6QK","ivckp1w0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","2854","[false,true]","[false,true]","1","true","NA"
"A3HTLXAPOBCVVO","ivcnwll1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","26314","[false,true]","[false,true]","1","true","This was very well formatted and it made it easy to understand."
"AY7WPVKHVNBLG","ivcl0ylt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","53655","[false,true]","[true,true]","0.5","false","In the beginning I didn't realize that every item from the policy had to be written in the examples. I just thought that the items in the examples had to agree with the policy. I figured it out pretty quickly though."
"A3843S9LWPDN2K","ivcmoth2","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","72370","[false,true]","[true,true]","0.5","false","I started struggling at task 3, but I really don't think there's anything you could have said to make things more clear for me."
"A2C73Y1COWCA51","ivcke27h","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","13280","[false,true]","[true,true]","0.5","true","no issues"
"A5EU1AQJNC7F2","ivcksdnx","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","11750","[false,true]","[true,false]","0","false","It was very confusing trying to figure out which statements translated into each sentence"
"A2541C8MY0BYV3","ivckm0a1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t2.html","11892","[false,true]","[false,true]","1","true","I tried my best."
"workerId","postId","userAgent","experimentID","taskID","modules/t3.html_time","modules/t3.html_answers","modules/t3.html_responses","modules/t3.html_grade","modules/t3.html_exitq","q1"
"A13OOAT2ORKH6V","ivclhjm3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","64863","[true,false]","[true,false]","1","true","I struggled with the study early, but then got the hang of the policies. Very fun and concise study."
"A3VIQ9XPOYB8K6","ivcmy4og","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","5943","[true,false]","[false,true]","0","false","it was very confusing"
"AK3H5QRAROFGP","ivckrecl","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","26999","[true,false]","[true,false]","1","true","I had no real problems with understanding and found it quite clear."
"A2DPKKEEW2I6QK","ivckp1w0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","2066","[true,false]","[true,false]","1","true","NA"
"A3HTLXAPOBCVVO","ivcnwll1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","27493","[true,false]","[true,false]","1","true","This was very well formatted and it made it easy to understand."
"AY7WPVKHVNBLG","ivcl0ylt","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","42789","[true,false]","[true,false]","1","true","In the beginning I didn't realize that every item from the policy had to be written in the examples. I just thought that the items in the examples had to agree with the policy. I figured it out pretty quickly though."
"A3843S9LWPDN2K","ivcmoth2","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","51900","[true,false]","[true,false]","1","false","I started struggling at task 3, but I really don't think there's anything you could have said to make things more clear for me."
"A2C73Y1COWCA51","ivcke27h","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","3545","[true,false]","[true,true]","0.5","true","no issues"
"A5EU1AQJNC7F2","ivcksdnx","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","36962","[true,false]","[false,false]","0.5","false","It was very confusing trying to figure out which statements translated into each sentence"
"A2541C8MY0BYV3","ivckm0a1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t3.html","9781","[true,false]","[false,true]","0","true","I tried my best."
"workerId","postId","userAgent","experimentID","taskID","modules/t4.html_time","modules/t4.html_answers","modules/t4.html_responses","modules/t4.html_grade","modules/t4.html_exitq","q1"
"A13OOAT2ORKH6V","ivclhjm3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t4.html","111289","[true,false,true]","[true,false,true]","1","true","I struggled with the study early, but then got the hang of the policies. Very fun and concise study."
"A3VIQ9XPOYB8K6","ivcmy4og","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t4.html","17067","[true,false,true]","[true,false,true]","1","true","it was very confusing"
"AK3H5QRAROFGP","ivckrecl","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t4.html","44774","[true,false,true]","[true,false,true]","1","true","I had no real problems with understanding and found it quite clear."
"A2DPKKEEW2I6QK","ivckp1w0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html","modules/t4.html","2492","[true,false,true]","[true,false,true]","1","true","NA"
